,id,judul,penyanyi,link,lirik,lang
0,1,A Blessing,Sisi,https://lirik.kapanlagi.com/artis/sisi/a-blessing/,"He's my everything... He's my everynight From the sorrows of my brokenheart I wish that I could stay tonight So lonely is the night I could stand to realize I can't see your face I'm desperate And I'm restless longing your embrace He's a blessing from the sky... He's a moonlight He blessed from the child... He used to cry I love you from a difference I couldn't lie He loves to let go by and we can try He gazed in to my eyes and through my mind He gave me the heart and he's all mine And though I have to wait Boy, I don't mind Don't wanna lose your trace, my endless love And all the visions of my future Will never come to real without you It ain't no lie, it's cause you why The tear of grief runs dry I'm about to build tomorrow I'm about rewrite my journey And other stories in my diary Restarted with you inside of me And with no dignity",en
1,2,A Boy Was Conceived (Intro),Ice Cube,https://lirik.kapanlagi.com/artis/ice-cube/a-boy-was-conceived-intro/,"[Keith David] Only three short years after the 1965 Watts Riots and the death of Malcolm X and of the assassination of Martin Luther King Jr, A Boy Was Conceived, who's lyrics would change the world [Mike Epps] Cube, please stop rapping so we can come out and get some, some more of this action mane You know when we ain't doin' no movies I'm back out here selling half ounce and quarters of that good weed in that neighborhood",en
2,3,A Brand New Day,Ten 2 Five,https://lirik.kapanlagi.com/artis/ten-2-five/a-brand-new-day/,"A brand new day for you and me In this place as husband and wife We'll be holding on till we grow old, together, forever and ever I promise you, that I'll please you with my endless love and passion and I will never leave you... Reff : This is a journey that will never end We'll have our children named Jeremy and Felicia We'll have a beautiful house With a bench and apple tree I know it sounds too much But this is a brand new day Ohoo.. Oh this is a brand new day.. Oh..oo... * Back to reff : A brand new day For you and me In this place as husband and wife..",en
6,7,A Little Piece Of Heaven,Nu Dimension,https://lirik.kapanlagi.com/artis/nu-dimension/a-little-piece-of-heaven/,"Before the story begins, is it such a sin, For me to take what's mine, until the end of time We were more than friends, before the story ends, And I will take what's mine, create what God would never design Our love had been so strong for far too long, I was weak with fear that Something would go wrong, Before the possibilities came true, I took all possibility from you Almost laughed myself to tears, (ha hahahahaha) Conjuring her deepest fears (come here you fucking bitch) Must have stabbed her fifty fucking times, I can't believe it, Ripped her heart out right before her eyes, Eyes over easy, eat it, eat it, eat it She was never this good in bed even when she was sleeping now she's just so perfect I've never been quite so fucking deep in It goes on and on and on, I can keep you looking young and preserved forever, With a fountain to spray on your youth whenever âCause I really always knew that my little crime Would be cold that's why I got a heater for your thighs And I know, I know it's not your time But bye, bye And a word to the wise when the fire dies You think it's over but it's just begun But baby don't cry You had my heart, at least for the most part âCause everybody's gotta die sometime, We fell apart, let's make a new start âCause everybody's gotta die sometime, yeah But baby don't cry Now possibilities I'd never considered, Are occurring the likes of which I'd never heard, Now an angry soul comes back from beyond the grave, To repossess a body with which I'd misbehaved You had my heart, at least for the most part âCause everybody's gotta die sometime, We fell apart, let's make a new start âCause everybody's gotta die sometime, yeah But baby don't cry",en
7,8,A Little Romancing,Ning Baizura,https://lirik.kapanlagi.com/artis/ning-baizura/a-little-romancing/,"When you find yourself all alone you might just think of me J ust remember the times that we had before you walked out on me When you used to whisper 'I love you' I used to think it was true Now I know that you only wanted someone begging for more Baby don't you know how I dream of lying next to you Close my eyes and I will see you with me how I wish it was true I can't forget the feelings inside me no matter how much I try So take my hand and I'll lead you down Down to paradise Can't you see I need you Can't you see I love you Do you have to know the reasons why Give me all your loving More and more each day Open up your heart and you will know A little romancing Makes you feel good When you need some sunshine in your life A little romancing Makes you feel good When you need some one to love Just call my name Baby, now's the time that I want you right here next to me Everything was so good Let me tell you Just in case you forgot When you said you'll love me forever I hoped that it could be true You and I together can m ake it if you give it a chance Spending time alone just reminds me how it used to be Giving you all my love was so foolish but I'd do it again Can you give me answers to all of the questions I have for you If you can't know I won't mind so long as you're back with me",en
9,10,A Love Bite,Fariz RM,https://lirik.kapanlagi.com/artis/fariz-rm/a-love-bite/,Oh...those happy days Seems we've left it too soon While this heart feels grooms Oh...what a pretty little smile That i've lost it be true It's smile from you Well i keep on trying Just to be good friend But it's upside down Comin' to your life To be next to you It makes me feel drowned ...baby Girl ... Tell me what's goin' wrong You just ended this tune And it's gonna break my heart soon Oh... Just tell me what you need I'll be right on feet Just to get you lead [bridge] Try to keep me alive in a harmony But you throw me around Be a part of your dream It's impossible girl I'm off the ground [reff 1] How could it be I'm reachin' out for love can you see I didn't know if i'm dyin or livin Would you realize tears have lost my mind The night you let me feel your lovebite Na...nanana.... Na...nanana.... Days goes years gone by You keep stay on myside As a song i'll write Girl... Just send me your kiss That's the one that i missed... Your little cherry red lips Try to keep me alive In an empty side Make my craziness too ... I must find a way To make you love me That's the only thing i wanna do [reff 2] How could it be I'm turning down but you didn't see Please show to me your pulse of emotion Would you realize...don't you ever compromize girl Give me a piece of your lovebite Na ...nanana... Na ...nanana...,en
12,13,A Natural Woman (You Make Me Feel Like),Shena Malsiana,https://lirik.kapanlagi.com/artis/shena-malsiana/a-natural-woman-you-make-me-feel-like/,"Lookin' out on the mornin' rain I used to feel uninspired And when I knew I had to face another day Oh it made me feel so tired Before the day I met you Life was so unkind But your love was the key to my peace of mind Cause you make me feel You make me feel You make me feel Like a natural woman When my soul was in the lost and found You came along to claim it And didn't know just what was wrong with me Oh till your kiss helped me name it Now I'm no longer doubtful Of what I'm livin' for Cause if I make you happy I don't need to do more Cause you make me feel You make me feel You make me feel Like a natural woman Oh baby what you've done to me You make me feel so good inside Good inside And I, I just wanna be close to you Because you make me feel so alive Oh what you've done to me Close to you because you make me feel so alive You make me feel You make me feel You make me feel Like a natural woman Woman You make me feel You make me feel You make me feel Like a natural woman You make me feel Oh baby what you do to me Can make me feel so good inside I just wanna be, I just wanna be Oh what you've done Natural woman",en
13,14,A New World,OST Perahu Kertas,https://lirik.kapanlagi.com/artis/ost-perahu-kertas/a-new-world/,"By: Nadya Fatira These days are gonna be those days Which Iâll look back with a happy smile And a twinkle in my eyes And life will never be the same A different life than the one weâve had From our simple, fun, fairytales Itâs strange, itâs a new, new world Itâs loud, itâs a hectic world And I miss my home, I miss myself And I miss you And yet, I finally found that love Inside my soul And I jump in joy and I sing my heart away Your face is gonna be that face That Iâll look back with a loving smile And a warm glow in my heart And love will never be the same A kind of love that I hold so dear Yet Iâm ready to let it go Will you remember how we are? Will you stay with me when I try To be a better one for you? In this new worldâ¦",en
15,16,A Prayer,Anggun,https://lirik.kapanlagi.com/artis/anggun/a-prayer/,"Thank you for blessing the road I walk on That I'm walking on I'm sorry for every mistake I fall on Can't help but fall You've changed this heart in me And I know, I can always count on you To give me the signs In the wind on my face Each time I try to run From the sight of your grace From the wrongs I have done You shine down your ligh t Each time I need a guide I say to hearts in despair There's an answer to a prayer Give me true love in my life, a peaceful mind Save me from harm Pull me back if I ever try to walk away Don't let me stray You've changed this heart in me And I know I can always count on you To give me the signs In the wind on my face Each time I try to run From the sight of your grace From the wrongs I have done You shine down your light Each time I need a guide I say to hearts in despair There's an answer to a prayer Say to all hearts in despair, there's an answer to a prayer You've changed this heart in me And I know I can always count on you To hear my prayers You shine down your light And I know there's an answer to a prayer You shine down your light Each time I need a guide I say to hearts in despair There's an answer to a prayer",en
16,17,A Rose In The Wind,Anggun,https://lirik.kapanlagi.com/artis/anggun/a-rose-in-the-wind/,To the road I did take Trembling as the ground shakes Under my feet cracked in a stone heal Never ending motion Way across the ocean Into your devotion Long have I gone so far from my home Chorus: What to do with this love that I'm in I have given you all of my soul Flying all my life like a rose in the wind Tell me why I'm always alone On my way back home (Indonesian spoken) Dreaming always begins Find a door that's opening Something there is shining The light in your eyes when you were all mine All alone as I wake Moving to a new place Shivering as I trace A road of my own cut by a deep cold (Repeat chorus) Hang on to me tight and a rose in the wind Will be wherever you go On your way back home (indonesian spoken) Can I take you back there? Drifting on the warm air Say you'll follow anywhere All of our nights into the jade skies I'll be true to you Flying over the moon Lying in the bamboo I'll always know the light in the window (repeat chorus) Alone,en
